captured_at,experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2026-09-09T13:31:24.328790-07:00,2,7694.103,13.081836,167.388,2189.7216,30.7578
2026-09-09T13:31:25.328272-07:00,2,7695.102,13.081836,165.32,2162.688,30.7656
2026-09-09T13:31:26.329333-07:00,2,7696.104,13.081445,161.844,2117.1584,30.7656
2026-09-09T13:31:27.328353-07:00,2,7697.103,13.081445,161.32,2110.2592,30.7656
2026-09-09T13:31:28.330677-07:00,2,7698.105,13.081445,161.072,2107.0592,30.7656
2026-09-09T13:31:29.329394-07:00,2,7699.104,13.081055,158.72,2076.2112,30.7656
2026-09-09T13:31:30.331318-07:00,2,7700.106,13.080859,158.896,2078.5152,30.7734
2026-09-09T13:31:31.330414-07:00,2,7701.105,13.080859,157.968,2066.3296,30.7734
2026-09-09T13:31:32.332635-07:00,2,7702.107,13.080664,154.516,2021.1584,30.7734
2026-09-09T13:31:33.331947-07:00,2,7703.106,13.080664,150.524,2013.696,30.7734
2026-09-09T13:31:34.334047-07:00,2,7704.108,13.080273,150.824,1972.8,30.7734
2026-09-09T13:31:35.332798-07:00,2,7705.107,13.079883,149.628,1957.0944,30.7734
2026-09-09T13:31:36.335317-07:00,2,7706.109,13.079883,149.396,1954.0864,30.7734
2026-09-09T13:31:37.334087-07:00,2,7707.108,13.079492,147.252,1925.9776,30.7734
2026-09-09T13:31:38.336069-07:00,2,7708.11,13.079297,146.712,1918.8992,30.7734
2026-09-09T13:31:39.335974-07:00,2,7709.109,13.079297,147.996,1935.6672,30.7813
2026-09-09T13:31:40.336837-07:00,2,7710.111,13.079102,147.808,1933.1968,30.7813
2026-09-09T13:31:41.335405-07:00,2,7711.11,13.079102,148.012,1935.8592,30.7813
2026-09-09T13:31:42.338226-07:00,2,7712.112,13.078906,149.624,1956.9408,30.7813
2026-09-09T13:31:43.336871-07:00,2,7713.111,13.079102,149.24,1951.8976,30.7813
2026-09-09T13:31:44.338933-07:00,2,7714.113,13.078711,147.872,1933.9776,30.7813
2026-09-09T13:31:45.337793-07:00,2,7715.112,13.078516,150.332,1966.1056,30.7734
2026-09-09T13:31:46.339394-07:00,2,7716.114,13.078906,149.816,1959.424,30.7734
2026-09-09T13:31:47.338780-07:00,2,7717.113,13.078711,148.932,1947.8144,30.7734
2026-09-09T13:31:48.341178-07:00,2,7718.115,13.078711,150.24,1964.928,30.7813
2026-09-09T13:31:49.340043-07:00,2,7719.114,13.078906,150.212,1964.6208,30.7813
2026-09-09T13:31:50.343358-07:00,2,7720.116,13.078711,149.608,1956.672,30.7813
2026-09-09T13:31:51.340558-07:00,2,7721.115,13.078906,151.628,1983.0912,30.7891
2026-09-09T13:31:52.343806-07:00,2,7722.117,13.078516,153.128,2002.7008,30.7891
2026-09-09T13:31:53.343518-07:00,2,7723.116,13.078711,153.708,2010.2912,30.7891
2026-09-09T13:31:54.344783-07:00,2,7724.118,13.078906,156.26,2043.6864,30.7891
2026-09-09T13:31:55.344298-07:00,2,7725.117,13.078711,156.844,2051.3152,30.7891
2026-09-09T13:31:56.344376-07:00,2,7726.119,13.079492,159.384,2084.6464,30.7969
2026-09-09T13:31:57.344057-07:00,2,7727.118,13.079883,162.168,2121.1264,30.7969
2026-09-09T13:31:58.345412-07:00,2,7728.12,13.079688,163.636,2140.3008,30.7969
2026-09-09T13:31:59.345207-07:00,2,7729.119,13.080273,166.2,2173.9392,30.7969
2026-09-09T13:32:00.347205-07:00,2,7730.121,13.080469,169.616,2218.6752,30.7969
2026-09-09T13:32:01.345414-07:00,2,7731.12,13.080859,170.952,2236.16,30.7969
2026-09-09T13:32:02.347893-07:00,2,7732.122,13.08125,172.516,2256.7296,30.8047
2026-09-09T13:32:03.346972-07:00,2,7733.121,13.081445,174.464,2282.2528,30.8047
2026-09-09T13:32:04.348663-07:00,2,7734.123,13.081836,173.524,2270.0032,30.8047
2026-09-09T13:32:05.347437-07:00,2,7735.122,13.082227,172.568,2257.536,30.8125
2026-09-09T13:32:06.349412-07:00,2,7736.124,13.081836,172.796,2260.4544,30.8047
2026-09-09T13:32:07.348896-07:00,2,7737.123,13.081836,170.928,2236.032,30.8125
2026-09-09T13:32:08.351511-07:00,2,7738.125,13.081641,169.004,2210.8672,30.8125
2026-09-09T13:32:09.350133-07:00,2,7739.124,13.081836,168.8,2208.2304,30.8125
2026-09-09T13:32:10.351957-07:00,2,7740.122,13.081641,167.1,2185.9584,30.8125
2026-09-09T13:32:11.351916-07:00,2,7741.121,13.081445,165.656,2167.04,30.8125
2026-09-09T13:32:12.353043-07:00,2,7742.123,13.081836,166.14,2173.44,30.8203
2026-09-09T13:32:13.352503-07:00,2,7743.122,13.081641,165.48,2164.7232,30.8203
2026-09-09T13:32:14.353733-07:00,2,7744.124,13.081055,158.472,2073.1008,30.8203
2026-09-09T13:32:15.353267-07:00,2,7745.123,13.08125,162.004,2119.552,30.8125
2026-09-09T13:32:16.354457-07:00,2,7746.125,13.081445,162.832,2130.048,30.8125
2026-09-09T13:32:17.354076-07:00,2,7747.124,13.08125,162.2,2121.7664,30.8125
2026-09-09T13:32:18.355913-07:00,2,7748.126,13.08125,162.744,2128.8832,30.7969
2026-09-09T13:32:19.354797-07:00,2,7749.125,13.080859,160.988,2105.856,30.7969
2026-09-09T13:32:20.356720-07:00,2,7750.127,13.081055,160.952,2105.3952,30.7891
2026-09-09T13:32:21.355466-07:00,2,7751.126,13.080664,160.504,2099.4944,30.7891
2026-09-09T13:32:22.357843-07:00,2,7752.128,13.080859,157.916,2065.6896,30.7891
2026-09-09T13:32:23.356870-07:00,2,7753.127,13.080469,156.5,2047.0656,30.7891
2026-09-09T13:32:24.361091-07:00,2,7754.129,13.080469,155.388,2032.5248,30.7813
2026-09-09T13:32:25.357887-07:00,2,7755.128,13.079883,152.72,1997.5424,30.7813
2026-09-09T13:32:26.360113-07:00,2,7756.13,13.079883,151.46,1981.0688,30.7813
2026-09-09T13:32:27.359574-07:00,2,7757.129,13.079688,150.684,1970.88,30.7891
2026-09-09T13:32:28.361130-07:00,2,7758.131,13.079492,150.32,1966.0928,30.7891
2026-09-09T13:32:29.360058-07:00,2,7759.13,13.079102,148.204,1938.3808,30.7891
2026-09-09T13:32:30.361937-07:00,2,7760.132,13.079297,150.32,1966.1056,30.7891
2026-09-09T13:32:31.360512-07:00,2,7761.131,13.078906,149.768,1958.8096,30.7813
2026-09-09T13:32:32.364081-07:00,2,7762.133,13.079102,149.988,1961.7024,30.7813
2026-09-09T13:32:33.362411-07:00,2,7763.132,13.078906,148.812,1946.4704,30.7813
2026-09-09T13:32:34.364127-07:00,2,7764.134,13.078711,150.024,1962.0864,30.7891
2026-09-09T13:32:35.363449-07:00,2,7765.133,13.078516,148.348,1940.1856,30.7891
2026-09-09T13:32:36.365368-07:00,2,7766.135,13.078711,148.5,1942.1696,30.7891
2026-09-09T13:32:37.364122-07:00,2,7767.134,13.07832,146.576,1916.9792,30.7891
